how who
adviced advised
need needs
shut shout
shown showed
loss lose
accordeon accordion
to too
some_times sometimes
disappear disappears
when went
buryal burial
yours your
crimes criminals
scientifical scientific
meating meeting
quitest quietest
hand_out hand-out
high-jacked hijacked
deases diseases
goes has_gone
looks looked
stablish establish
wonder wander
bussines business
bouquets bouquet
flighter fighters
infact in_fact
take be_taken
wait await
thinks think
the they
reached reach
spoiled spoil
sintoms symptoms
were where
symptons symptoms
though thought
afew a_few
knew know
arrang arrange
has have
men man
is was
depress depressed
summer's summer
changed change
class_room classroom
accomodation accommodation
tought thought
