violance violence
plain plane
his its
hated hate
controlled control
citizens citizen
others other
you your
are is
transperant transparent
accussed accused
dinner_time dinner-time
keep kept
sweared swore
haed_Master's headmaster's
handwritting handwriting
infront in_front
convertable convertible
torisim tourism
jack-in-box jack-in-a-box
responsability responsibility
registrate register
mervellous marvellous
studies_of_language language_studies
pinic picnic
true truth
too took
participates participant
woman women
look looked
som some
teaches teach
forces force
it its
bed_time bedtime
labratories laboratories
seem seemed
stopped stop
stop stopped
the they
suppossed supposed
wheather weather
maket market
sting stink
out_break outbreak
beatiful beautiful
was_bite bit
scence sense
hungry hunger
when_ever whenever
decieded decided
raining rainy
their they
embarassed embarrassed
says said
theirselves themselves
hapiness happiness
sikness sickness
thing think
food_poisoning food-poisoning
taking talking
no not
harmfull harmful
catched caught
began begun
law's laws
where were
toasts toast
ammunitions ammunition
good-week have_a_good_week
we've we'd
inorder in_order
priority priorities
enjoyed enjoying
happenned happened
appratus apparatus
sade sad
programm programme
sincerly sincerely
conditions condition
is was
send sent
musics music
distroying destroying
whobbly wobbly
are is
are is
dont don't
exciting excited
cupes cups
stuordesse stewardess
behavior behaviour
expencive expensive
sojurn sojourn
greeding greeting
case cases
feels felt
your yours
emontion emotional
noice nice
